codigo,etapa,ano,area,componente,unidade_tematica,objeto_conhecimento,descricao,palavras_chave,temas_relacionados,steam_relacionado,cultura_maker,fonte_url,observacoes
EF06CI01,Ensino Fundamental - Anos Finais,6º ano,Ciências da Natureza,Ciências,Matéria e energia,Misturas homogêneas e heterogêneas,"Classificar como homogênea ou heterogênea a mistura de dois ou mais materiais (água e sal, água e óleo, água e areia etc.).","{misturas,materiais,homogenea,heterogenea}","{experimentos,separacao_de_materiais,materiais_do_cotidiano}","{ciencia,engenharia}",true,https://basenacionalcomum.mec.gov.br/,Registro de exemplo para testar a estrutura. Revisar na carga oficial completa.
EF07CI01,Ensino Fundamental - Anos Finais,7º ano,Ciências da Natureza,Ciências,Matéria e energia,Máquinas simples,"Discutir a aplicação, ao longo da história, das máquinas simples e propor soluções e invenções para a realização de tarefas mecânicas cotidianas.","{maquinas_simples,inovacao,forca,movimento}","{prototipagem,solucoes_mecanicas,cotidiano}","{ciencia,engenharia,tecnologia}",true,https://basenacionalcomum.mec.gov.br/,Registro de exemplo para testar a estrutura. Revisar na carga oficial completa.
EF08CI02,Ensino Fundamental - Anos Finais,8º ano,Ciências da Natureza,Ciências,Matéria e energia,Circuitos elétricos,"Construir circuitos elétricos com pilha/bateria, fios e lâmpada ou outros dispositivos e compará-los a circuitos elétricos residenciais.","{circuitos,eletricidade,energia,lampada}","{prototipagem,energia_eletrica,seguranca_eletrica}","{ciencia,tecnologia,engenharia}",true,https://basenacionalcomum.mec.gov.br/,Registro de exemplo para testar a estrutura. Revisar na carga oficial completa.
EF09CI13,Ensino Fundamental - Anos Finais,9º ano,Ciências da Natureza,Ciências,Vida e evolução,Preservação da biodiversidade,"Propor iniciativas individuais e coletivas para a solução de problemas ambientais da cidade ou da comunidade, com base na análise de ações de consumo consciente e de sustentabilidade bem-sucedidas.","{sustentabilidade,meio_ambiente,consumo_consciente,comunidade}","{problemas_ambientais,cidade,solucoes_sustentaveis}","{ciencia,tecnologia,engenharia,artes}",true,https://basenacionalcomum.mec.gov.br/,Registro de exemplo para testar a estrutura. Revisar na carga oficial completa.
EF06MA24,Ensino Fundamental - Anos Finais,6º ano,Matemática,Matemática,Grandezas e medidas,Problemas sobre medidas envolvendo grandezas,"Resolver e elaborar problemas que envolvam as grandezas comprimento, massa, tempo, temperatura, área (triângulos e retângulos), capacidade e volume (sólidos formados por blocos retangulares), sem uso de fórmulas, inseridos, sempre que possível, em contextos oriundos de situações reais e/ou relacionadas às outras áreas do conhecimento.","{medidas,comprimento,massa,tempo,temperatura,area,volume}","{situacoes_reais,prototipos,medicao}","{matematica,engenharia,ciencia}",true,https://basenacionalcomum.mec.gov.br/,Registro de exemplo para testar a estrutura. Revisar na carga oficial completa.
